Main Effects
Parameter0:	    1.7016[4.4035]
Parameter1:	    1.9268[4.1601]
Parameter2:	    0.4467[2.6406]
Parameter3:	    1.8514[4.4459]
Parameter4:	    0.2352[2.3615]
Parameter5:	    0.5151[2.8714]
Parameter6:	    1.0800[3.4901]
Parameter7:	    0.7617[2.9663]
Parameter8:	    0.8951[3.2328]
Parameter9:	    0.1015[2.1394]
Parameter10:	    1.6769[4.1910]
Parameter11:	    1.4869[3.9375]
Parameter12:	    0.0927[2.1543]
Parameter13:	    0.5847[2.7394]
Parameter14:	    1.3666[3.9405]
Parameter15:	    0.5273[2.6837]
Parameter16:	    0.1061[2.2228]
Parameter17:	    1.7221[4.3031]
Parameter18:	    2.1873[4.5489]
Parameter19:	    0.2246[2.3427]
Parameter20:	    0.5098[2.8272]
Parameter21:	    0.3108[2.5611]
Parameter22:	    1.4412[3.9870]
Parameter23:	    0.7607[3.0515]
Parameter24:	    1.2203[3.7916]
Parameter25:	    0.5226[2.8236]
Parameter26:	    0.8649[2.9658]
Parameter27:	    0.9711[3.4326]
Parameter28:	    0.6870[2.9597]
Parameter29:	    2.6860[4.8315]
Parameter30:	    0.1569[2.0601]
Parameter31:	    0.2302[2.2454]
Parameter32:	    0.0009[2.0271]
Parameter33:	    0.7065[2.9533]
Parameter34:	    0.0981[1.8981]
Parameter35:	    0.4778[2.7970]
Parameter36:	    0.2319[2.1112]
Parameter37:	    0.0654[2.0118]
Parameter38:	    0.1533[2.3487]
Parameter39:	    2.0304[4.3749]
Parameter40:	  288.8165[48.3464]
Parameter41:	    1.6587[3.9299]
Parameter42:	    2.7298[5.0367]
Parameter43:	  357.6906[53.4418]
Parameter44:	    0.3418[2.6186]
Parameter45:	    0.8511[3.2853]
Parameter46:	 3312.8916[167.3215]
Parameter47:	  329.7628[48.2057]
Parameter48:	    0.5471[3.1229]
Parameter49:	    1.2643[3.5952]
Parameter50:	    0.6838[2.9597]
Parameter51:	    1.8326[4.6153]
Parameter52:	    0.2587[2.3311]
Parameter53:	    0.0420[2.0505]
Parameter54:	    0.8744[3.2445]
Parameter55:	    0.2083[2.2519]
Parameter56:	    0.0311[1.9874]
Parameter57:	    1.8011[4.0383]
Parameter58:	    2.2796[4.5125]
Parameter59:	    0.0023[2.0171]
Parameter60:	    1.7255[4.0283]
Parameter61:	    0.4251[2.5153]
Parameter62:	    0.9499[3.5733]
Parameter63:	    0.9996[3.6277]
Parameter64:	    0.8586[3.1484]
Parameter65:	    1.2110[3.4694]
Parameter66:	    0.0741[2.0823]
Parameter67:	    2.1772[4.3659]
Parameter68:	    0.5294[2.7651]
Parameter69:	    0.7664[2.8709]
Parameter70:	    1.7499[4.4771]
Parameter71:	    0.9369[3.3612]
Parameter72:	    2.6492[5.0309]
Parameter73:	    0.5545[2.8284]
Parameter74:	    0.2259[2.4184]
Parameter75:	    0.1575[2.0888]
Parameter76:	    2.3534[4.9532]
Parameter77:	    0.9455[3.4863]
Parameter78:	    2.9633[5.3793]
Parameter79:	    0.8744[3.2880]
Parameter80:	    0.6592[3.1485]
Parameter81:	    1.2000[3.6319]
Parameter82:	    0.9887[3.2899]
Parameter83:	    0.2240[2.2801]
Parameter84:	    1.1174[3.7220]
Parameter85:	    0.8435[3.1273]
Parameter86:	   12.0041[10.0022]
Parameter87:	    1.7500[4.4276]
Parameter88:	    0.2866[2.6866]
Parameter89:	    0.7340[2.9622]
Parameter90:	  389.7646[56.8415]
Parameter91:	   15.9499[11.1103]
Parameter92:	    1.8522[4.4153]
Parameter93:	    1.5899[3.9698]
Parameter94:	    0.1165[2.3239]
Parameter95:	    1.4461[3.4450]
Parameter96:	    0.2067[2.2061]
Parameter97:	    0.2404[2.3179]
Parameter98:	    0.5247[2.9675]
Parameter99:	    0.8713[3.2916]
Parameter100:	    0.8995[3.2333]
Parameter101:	    0.2888[2.2442]
Parameter102:	    0.4847[2.5903]
Parameter103:	   24.8936[14.5546]
Interaction Effects
Parameters0&1:	    1.1977[2.4706]
Parameters0&2:	    1.4128[2.7323]
Parameters0&3:	    0.7372[2.1285]
Parameters0&4:	    0.5523[2.1357]
Parameters0&5:	    0.6980[1.9984]
Parameters0&6:	    0.8693[2.2001]
Parameters0&7:	    2.0558[3.2110]
Parameters0&8:	    0.6168[1.9759]
Parameters0&9:	    0.8161[2.4211]
Parameters0&10:	    0.2310[1.7280]
Parameters0&11:	    0.1871[1.5153]
Parameters0&12:	    0.5463[2.0028]
Parameters0&13:	    2.9346[3.7297]
Parameters0&14:	    0.2453[1.5121]
Parameters0&15:	    0.1988[1.5063]
Parameters0&16:	    0.4111[1.8789]
Parameters0&17:	    0.8885[2.6170]
Parameters0&18:	    0.1726[1.8077]
Parameters0&19:	    1.1288[2.6216]
Parameters0&20:	    0.2483[1.9177]
Parameters0&21:	    0.0264[1.2807]
Parameters0&22:	    0.9458[2.4828]
Parameters0&23:	    1.0779[2.4014]
Parameters0&24:	    0.7106[2.0637]
Parameters0&25:	    1.2173[2.4764]
Parameters0&26:	    0.8237[2.2192]
Parameters0&27:	    1.2323[2.4740]
Parameters0&28:	    0.8795[2.2410]
Parameters0&29:	    0.2412[1.6593]
Parameters0&30:	    0.6967[2.5781]
Parameters0&31:	    0.8051[2.1837]
