Main Effects
Parameter0:	    1.9327[4.6955]
Parameter1:	    1.9233[4.1322]
Parameter2:	    0.5509[2.8181]
Parameter3:	    2.0572[4.6205]
Parameter4:	    0.2458[2.3805]
Parameter5:	    0.5041[2.7845]
Parameter6:	    0.8103[3.2293]
Parameter7:	    0.7720[2.9800]
Parameter8:	    1.0290[3.4428]
Parameter9:	    0.1490[2.1842]
Parameter10:	    1.8962[4.3466]
Parameter11:	    1.9766[4.3800]
Parameter12:	    0.1454[2.2349]
Parameter13:	    0.2710[2.3582]
Parameter14:	    1.2829[3.9117]
Parameter15:	    0.6556[2.8043]
Parameter16:	    0.1729[2.2937]
Parameter17:	    1.5334[4.1578]
Parameter18:	    1.1155[3.5184]
Parameter19:	    0.4089[2.6451]
Parameter20:	    0.3631[2.5611]
Parameter21:	    0.3092[2.5731]
Parameter22:	    1.2818[3.8219]
Parameter23:	    0.3733[2.5442]
Parameter24:	    1.4700[4.1072]
Parameter25:	    0.8943[3.3234]
Parameter26:	    1.3897[3.5734]
Parameter27:	    0.7857[3.1802]
Parameter28:	    0.8796[3.1728]
Parameter29:	    2.7759[4.8859]
Parameter30:	    0.1739[2.0374]
Parameter31:	    0.3442[2.4161]
Parameter32:	    0.1655[2.3172]
Parameter33:	    0.8372[3.0726]
Parameter34:	    0.1462[1.9897]
Parameter35:	    0.6466[2.9926]
Parameter36:	    0.1144[1.8917]
Parameter37:	    0.0110[1.9612]
Parameter38:	    0.1955[2.4197]
Parameter39:	    0.8459[3.3188]
Parameter40:	  123.1842[32.4072]
Parameter41:	    1.3942[3.6113]
Parameter42:	    2.2161[4.6394]
Parameter43:	  233.2007[43.1566]
Parameter44:	    0.6537[3.0374]
Parameter45:	    0.7944[3.2424]
Parameter46:	 4633.9683[209.1586]
Parameter47:	  419.5358[54.2806]
Parameter48:	    0.6470[3.2467]
Parameter49:	    1.5825[3.9305]
Parameter50:	    0.8379[3.0787]
Parameter51:	    2.0559[4.7745]
Parameter52:	    0.0808[2.0204]
Parameter53:	    0.0756[2.1186]
Parameter54:	    0.4098[2.6019]
Parameter55:	    0.1586[2.1982]
Parameter56:	    0.1444[2.2144]
Parameter57:	    1.8926[4.2018]
Parameter58:	    2.1038[4.3896]
Parameter59:	    0.0120[2.0292]
Parameter60:	    1.8726[4.1759]
Parameter61:	    0.6181[2.7594]
Parameter62:	    0.5699[3.0636]
Parameter63:	    1.0830[3.6468]
Parameter64:	    1.1049[3.4129]
Parameter65:	    0.8236[3.0347]
Parameter66:	    0.1688[2.2523]
Parameter67:	    1.9311[4.1311]
Parameter68:	    0.4322[2.6930]
Parameter69:	    0.3870[2.4040]
Parameter70:	    2.1345[4.8273]
Parameter71:	    1.1146[3.5219]
Parameter72:	    3.0538[5.4124]
Parameter73:	    0.8713[3.1836]
Parameter74:	    0.2132[2.4766]
Parameter75:	    0.2396[2.2309]
Parameter76:	    3.3121[5.7892]
Parameter77:	    0.5520[3.0453]
Parameter78:	    3.5281[5.8434]
Parameter79:	    0.5093[2.8062]
Parameter80:	    0.5732[3.0686]
Parameter81:	    1.3337[3.7965]
Parameter82:	    0.9410[3.3197]
Parameter83:	    0.3401[2.5054]
Parameter84:	    1.0755[3.6574]
Parameter85:	    0.5640[2.8002]
Parameter86:	    4.8937[6.5116]
Parameter87:	    1.6283[4.3129]
Parameter88:	    0.5146[2.9682]
Parameter89:	    0.4183[2.4642]
Parameter90:	  206.1385[40.2932]
Parameter91:	    4.3782[6.0433]
Parameter92:	    2.8958[5.3151]
Parameter93:	    1.5444[3.9950]
Parameter94:	    0.1453[2.3879]
Parameter95:	    1.3936[3.3616]
Parameter96:	    1.1031[3.3700]
Parameter97:	    0.3469[2.5188]
Parameter98:	    0.6869[3.0966]
Parameter99:	    0.7813[3.1573]
Parameter100:	    1.2830[3.6298]
Parameter101:	    0.4181[2.4708]
Parameter102:	    0.1579[2.1365]
Parameter103:	   26.3521[14.7995]
Interaction Effects
Parameters0&1:	    1.4731[2.7001]
Parameters0&2:	    0.9999[2.4111]
Parameters0&3:	    0.8981[2.2432]
Parameters0&4:	    0.4966[2.0417]
Parameters0&5:	    0.7235[2.0342]
Parameters0&6:	    0.8847[2.2463]
Parameters0&7:	    2.1989[3.3423]
Parameters0&8:	    0.7018[2.0965]
Parameters0&9:	    0.6136[2.3107]
Parameters0&10:	    0.4334[1.9330]
Parameters0&11:	    0.0843[1.3333]
Parameters0&12:	    0.4356[1.8930]
Parameters0&13:	    2.5314[3.5061]
Parameters0&14:	    0.1622[1.4498]
Parameters0&15:	    0.3331[1.6839]
Parameters0&16:	    0.6292[2.0930]
Parameters0&17:	    0.8371[2.5622]
Parameters0&18:	    0.3024[1.9860]
Parameters0&19:	    1.1711[2.6905]
Parameters0&20:	    0.0933[1.7290]
Parameters0&21:	    0.0039[1.3047]
Parameters0&22:	    1.1474[2.7271]
Parameters0&23:	    1.0966[2.4479]
Parameters0&24:	    0.7539[2.1895]
Parameters0&25:	    1.1395[2.4830]
Parameters0&26:	    0.8650[2.2939]
Parameters0&27:	    1.3343[2.5849]
Parameters0&28:	    0.6299[2.0033]
Parameters0&29:	    0.2331[1.6336]
Parameters0&30:	    0.6589[2.6333]
Parameters0&31:	    1.0653[2.4000]
Parameters0&32:	    0.2947[1.5284]
Parameters0&33:	    0.9328[2.5414]
Parameters0&34:	    0.0883[1.4194]
Parameters0&35:	    0.2474[1.6116]
Parameters0&36:	    0.3496[1.7303]
Parameters0&37:	    0.8016[2.1510]
Parameters0&38:	    1.3907[2.6338]
Parameters0&39:	    0.9920[2.2455]
Parameters0&40:	    1.7297[3.3352]
Parameters0&41:	    0.4111[2.1195]
Parameters0&42:	    0.6395[2.0523]
Parameters0&43:	    0.4103[1.8916]
Parameters0&44:	    0.0474[1.3596]
Parameters0&45:	    0.8350[2.3146]
Parameters0&46:	    1.0375[2.5211]
Parameters0&47:	    3.4854[4.1047]
Parameters0&48:	    1.2867[2.5653]
Parameters0&49:	    0.5659[2.2468]
Parameters0&50:	    0.2734[1.5071]
Parameters0&51:	    0.4860[2.1177]
Parameters0&52:	    0.0471[1.4842]
Parameters0&53:	    0.4259[1.8000]
Parameters0&54:	    0.3195[1.6420]
Parameters0&55:	    1.6574[2.9016]
Parameters0&56:	    0.0946[1.4546]
Parameters0&57:	    0.4701[1.9467]
Parameters0&58:	    0.2494[1.5939]
Parameters0&59:	    3.1073[3.5358]
Parameters0&60:	    0.1934[1.4255]
Parameters0&61:	    0.7783[2.2981]
Parameters0&62:	    1.0441[2.8956]
Parameters0&63:	    0.1747[1.5234]
Parameters0&64:	    0.9876[2.2458]
Parameters0&65:	    1.1377[2.5397]
Parameters0&66:	    0.3268[1.6046]
Parameters0&67:	    2.2968[3.5114]
Parameters0&68:	    0.0210[1.2226]
Parameters0&69:	    0.4921[1.8367]
Parameters0&70:	    0.9470[2.2980]
Parameters0&71:	    0.3585[1.7597]
Parameters0&72:	    0.6260[2.0123]
Parameters0&73:	    0.4012[1.7802]
Parameters0&74:	    0.7818[2.0835]
Parameters0&75:	    1.2672[2.4514]
Parameters0&76:	    0.9569[2.5223]
Parameters0&77:	    0.2609[1.6097]
Parameters0&78:	    1.0212[2.3004]
Parameters0&79:	    0.7472[2.1630]
Parameters0&80:	    0.2700[1.6656]
Parameters0&81:	    0.9492[2.2946]
Parameters0&82:	    2.1912[3.1866]
Parameters0&83:	    2.1425[3.1777]
Parameters0&84:	    1.5817[2.7296]
Parameters0&85:	    0.4780[1.8839]
Parameters0&86:	    1.0569[2.1598]
Parameters0&87:	    0.1754[1.8268]
Parameters0&88:	    0.6441[2.3381]
Parameters0&89:	    0.4613[1.7772]
Parameters0&90:	    0.8073[2.1351]
Parameters0&91:	    0.9847[2.6990]
Parameters0&92:	    0.3735[1.7583]
Parameters0&93:	    1.3571[2.7970]
Parameters0&94:	    0.7548[2.0738]
Parameters0&95:	    0.5923[2.1540]
Parameters0&96:	    1.5682[2.8545]
Parameters0&97:	    0.3804[1.8057]
Parameters0&98:	    0.8095[2.2771]
Parameters0&99:	    1.5243[3.4957]
Parameters0&100:	    1.0628[2.3240]
Parameters0&101:	    0.2348[1.4827]
Parameters0&102:	    1.8577[3.0139]
Parameters0&103:	    0.9450[2.2314]
Parameters1&2:	    0.5410[1.9808]
Parameters1&3:	    1.3059[2.5450]
Parameters1&4:	    0.3743[1.7799]
Parameters1&5:	    1.4699[2.6441]
Parameters1&6:	    0.7488[2.0872]
Parameters1&7:	    0.3826[1.5266]
Parameters1&8:	    0.5663[1.8652]
Parameters1&9:	    0.3301[1.8233]
Parameters1&10:	    1.8094[2.9002]
Parameters1&11:	    0.2654[1.5800]
Parameters1&12:	    0.9675[2.6365]
Parameters1&13:	    0.7495[1.9791]
Parameters1&14:	    0.2812[1.5741]
Parameters1&15:	    0.8034[2.1091]
Parameters1&16:	    0.2474[1.4852]
Parameters1&17:	    0.2558[1.7099]
Parameters1&18:	    2.9223[3.6431]
Parameters1&19:	    0.2686[1.7461]
Parameters1&20:	    0.6093[2.0529]
Parameters1&21:	    0.7901[1.9889]
Parameters1&22:	    1.8702[2.9250]
Parameters1&23:	    3.4913[3.7654]
Parameters1&24:	    0.8242[2.4157]
Parameters1&25:	    0.7890[2.1585]
Parameters1&26:	    0.2774[1.7385]
Parameters1&27:	    1.2407[2.5786]
Parameters1&28:	    0.4971[1.8287]
Parameters1&29:	    1.8864[2.7629]
Parameters1&30:	    1.5133[2.7042]
Parameters1&31:	    0.7694[2.0164]
Parameters1&32:	    0.4865[1.8100]
Parameters1&33:	    0.8471[2.1649]
Parameters1&34:	    0.4855[1.9561]
Parameters1&35:	    1.8862[2.9049]
Parameters1&36:	    2.3886[3.0762]
Parameters1&37:	    0.7970[2.1343]
Parameters1&38:	    1.4217[2.7076]
Parameters1&39:	    0.8930[2.0808]
Parameters1&40:	    1.0330[2.4077]
Parameters1&41:	    1.2918[2.4743]
Parameters1&42:	    0.7548[2.0208]
Parameters1&43:	    0.4922[2.0169]
Parameters1&44:	    0.5144[2.0282]
Parameters1&45:	    2.2303[3.1880]
Parameters1&46:	    0.9034[2.2464]
Parameters1&47:	    1.1808[2.5670]
Parameters1&48:	    0.5627[2.0001]
Parameters1&49:	    0.5387[2.0439]
Parameters1&50:	    0.4169[1.7630]
Parameters1&51:	    0.8085[2.2329]
Parameters1&52:	    1.1098[2.8836]
Parameters1&53:	    0.9844[2.7725]
Parameters1&54:	    0.3505[1.7461]
Parameters1&55:	    0.9492[2.2348]
Parameters1&56:	    0.5446[1.9774]
Parameters1&57:	    0.2456[1.4170]
Parameters1&58:	    0.1702[1.4627]
Parameters1&59:	    0.9609[2.3049]
Parameters1&60:	    0.6778[2.1013]
Parameters1&61:	    0.8323[2.0657]
Parameters1&62:	    2.0561[3.1751]
Parameters1&63:	    1.3103[2.4025]
Parameters1&64:	    2.0737[2.7581]
Parameters1&65:	    0.8250[2.2385]
