Main Effects
Parameters0&58:	    0.1311[1.4514]
Parameters0&59:	    3.1683[3.5287]
Parameters0&60:	    0.2502[1.5436]
Parameters0&61:	    0.6191[2.1298]
Parameters0&62:	    1.0265[2.8608]
Parameters0&63:	    0.1182[1.4246]
Parameters0&64:	    0.6097[1.9125]
Parameters0&65:	    0.7981[2.2710]
Parameters0&66:	    0.3365[1.6636]
Parameters0&67:	    2.5419[3.5610]
Parameters0&68:	    0.0128[1.2081]
Parameters0&69:	    0.6357[2.0642]
Parameters0&70:	    0.8616[2.2449]
Parameters0&71:	    0.3052[1.7634]
Parameters0&72:	    0.6601[2.0205]
Parameters0&73:	    0.3179[1.7010]
Parameters0&74:	    0.9433[2.2202]
Parameters0&75:	    1.8546[2.8978]
Parameters0&76:	    0.8019[2.3970]
Parameters0&77:	    0.1677[1.5902]
Parameters0&78:	    0.8064[2.1131]
Parameters0&79:	    1.0165[2.4234]
Parameters0&80:	    0.3598[1.7321]
Parameters0&81:	    0.6391[2.1011]
Parameters0&82:	    1.9470[3.0988]
Parameters0&83:	    1.6518[2.8357]
Parameters0&84:	    1.2323[2.4738]
Parameters0&85:	    0.1472[1.4573]
Parameters0&86:	    0.9063[2.0957]
Parameters0&87:	    0.2517[1.9297]
Parameters0&88:	    0.5541[2.1764]
Parameters0&89:	    0.6109[1.9563]
Parameters0&90:	    0.5429[1.8995]
Parameters0&91:	    0.9414[2.6816]
Parameters0&92:	    0.5041[1.9185]
Parameters0&93:	    1.2953[2.7244]
Parameters0&94:	    0.5572[1.9264]
Parameters0&95:	    0.3376[1.8680]
Parameters0&96:	    1.6053[2.8642]
Parameters0&97:	    0.2519[1.6750]
Parameters0&98:	    0.5863[2.1202]
Parameters0&99:	    1.1378[3.2452]
Parameters0&100:	    1.2406[2.4441]
Parameters0&101:	    0.2437[1.5011]
Parameters0&102:	    2.3416[3.3046]
Parameters0&103:	    0.7066[2.0216]
Parameters1&2:	    0.3965[1.7491]
Parameters1&3:	    1.1814[2.3913]
Parameters1&4:	    0.5156[1.9193]
Parameters1&5:	    1.5689[2.6853]
Parameters1&6:	    0.5334[1.8484]
Parameters1&7:	    0.2392[1.3680]
Parameters1&8:	    0.3328[1.5833]
Parameters1&9:	    0.2838[1.7508]
Parameters1&10:	    1.9562[2.9451]
Parameters1&11:	    0.3227[1.6270]
Parameters1&12:	    1.3757[2.8805]
Parameters1&13:	    0.7777[2.0794]
Parameters1&14:	    0.2240[1.4816]
Parameters1&15:	    0.6279[1.9703]
Parameters1&16:	    0.1463[1.3045]
Parameters1&17:	    0.2048[1.6224]
Parameters1&18:	    2.1696[3.2141]
Parameters1&19:	    0.2049[1.6186]
Parameters1&20:	    0.3304[1.7584]
Parameters1&21:	    0.6900[1.9010]
Parameters1&22:	    1.8372[2.9229]
Parameters1&23:	    3.6499[3.7848]
Parameters1&24:	    1.0872[2.5910]
Parameters1&25:	    0.9931[2.2557]
Parameters1&26:	    0.3910[1.9455]
Parameters1&27:	    1.1589[2.5412]
Parameters1&28:	    0.3216[1.6020]
Parameters1&29:	    2.0219[2.8360]
Parameters1&30:	    1.3863[2.5886]
Parameters1&31:	    0.4270[1.6881]
Parameters1&32:	    0.3297[1.6342]
Parameters1&33:	    0.3767[1.7324]
Parameters1&34:	    0.3484[1.7966]
Parameters1&35:	    2.1962[3.1230]
Parameters1&36:	    2.4671[3.1847]
Parameters1&37:	    1.0754[2.3648]
Parameters1&38:	    1.7396[2.9179]
Parameters1&39:	    1.0327[2.2189]
Parameters1&40:	    1.0968[2.4660]
Parameters1&41:	    1.2240[2.3974]
Parameters1&42:	    0.8049[2.0614]
Parameters1&43:	    0.4857[1.9296]
Parameters1&44:	    0.5986[2.0146]
Parameters1&45:	    2.6289[3.4211]
Parameters1&46:	    1.0584[2.5398]
Parameters1&47:	    1.2503[2.5777]
Parameters1&48:	    0.5814[1.9928]
Parameters1&49:	    0.3378[1.8883]
Parameters1&50:	    0.4289[1.7251]
Parameters1&51:	    1.0812[2.4974]
Parameters1&52:	    0.8492[2.4201]
Parameters1&53:	    0.9104[2.4929]
Parameters1&54:	    0.1102[1.3937]
Parameters1&55:	    0.9945[2.2817]
Parameters1&56:	    0.5362[1.9622]
Parameters1&57:	    0.2651[1.4951]
Parameters1&58:	    0.1090[1.3418]
Parameters1&59:	    0.7988[2.1485]
Parameters1&60:	    0.3695[1.7799]
Parameters1&61:	    1.2059[2.3313]
Parameters1&62:	    2.5467[3.4734]
Parameters1&63:	    0.8467[1.9736]
Parameters1&64:	    2.1292[2.7659]
Parameters1&65:	    0.7233[2.1461]
Parameters1&66:	    1.3836[2.7668]
Parameters1&67:	    1.2080[2.5802]
Parameters1&68:	    0.3662[1.6759]
Parameters1&69:	    0.8106[2.2093]
Parameters1&70:	    0.6506[1.9374]
Parameters1&71:	    0.9423[2.3687]
Parameters1&72:	    0.7375[2.1176]
Parameters1&73:	    1.1210[2.2384]
Parameters1&74:	    0.3758[1.9339]
Parameters1&75:	    0.7515[2.0815]
Parameters1&76:	    0.1809[1.4680]
Parameters1&77:	    0.9055[2.2032]
Parameters1&78:	    0.1538[1.6746]
Parameters1&79:	    0.4257[1.6666]
Parameters1&80:	    1.8354[2.9074]
Parameters1&81:	    0.7033[2.1952]
Parameters1&82:	    0.0563[1.4830]
Parameters1&83:	    0.8368[2.1752]
Parameters1&84:	    1.2105[2.7502]
Parameters1&85:	    0.4440[1.8197]
Parameters1&86:	    0.2214[1.3862]
Parameters1&87:	    1.2862[2.4079]
Parameters1&88:	    0.0192[1.2931]
Parameters1&89:	    1.2109[2.3957]
Parameters1&90:	    0.4826[1.7423]
Parameters1&91:	    0.6851[2.0285]
Parameters1&92:	    0.7077[2.0026]
Parameters1&93:	    0.6750[1.8836]
Parameters1&94:	    0.7721[2.1473]
Parameters1&95:	    0.5946[1.9257]
Parameters1&96:	    0.8747[2.2496]
Parameters1&97:	    1.0295[2.3883]
Parameters1&98:	    0.8996[1.8595]
Parameters1&99:	    1.8201[2.8094]
Parameters1&100:	    0.7621[2.2946]
Parameters1&101:	    1.6446[2.5495]
Parameters1&102:	    1.1989[2.6475]
Parameters1&103:	    2.7270[3.3935]
Parameters2&3:	    0.5983[2.0552]
Parameters2&4:	    0.4281[1.6991]
Parameters2&5:	    0.4505[1.6389]
Parameters2&6:	    0.2756[1.5609]
Parameters2&7:	    0.9417[2.2378]
Parameters2&8:	    0.5604[1.8514]
Parameters2&9:	    0.1874[1.5789]
Parameters2&10:	    0.5277[1.7704]
Parameters2&11:	    0.3071[1.5670]
Parameters2&12:	    0.3478[1.6353]
Parameters2&13:	    1.3276[2.6597]
Parameters2&14:	    0.7781[2.1698]
Parameters2&15:	    0.6023[1.9195]
Parameters2&16:	    0.2363[1.4462]
Parameters2&17:	    0.1530[1.6383]
Parameters2&18:	    0.2682[1.6039]
Parameters2&19:	    0.5451[1.7696]
Parameters2&20:	    0.2005[1.6814]
Parameters2&21:	    0.9925[2.1760]
Parameters2&22:	    0.7219[2.0720]
Parameters2&23:	    0.5602[1.8575]
Parameters2&24:	    0.9203[2.2568]
Parameters2&25:	    4.0221[4.0886]
