Main Effects
Parameter0:	    0.6002[2.9360]
Parameter1:	    0.5467[2.6446]
Parameter2:	    0.8522[3.2567]
Parameter3:	    1.6770[4.1442]
Parameter4:	    0.2073[2.2175]
Parameter5:	    2.4222[4.5685]
Parameter6:	    0.1001[2.3206]
Parameter7:	    0.2020[2.2534]
Parameter8:	    3.8636[5.8995]
Parameter9:	    0.1102[2.2906]
Parameter10:	    1.4541[3.8454]
Parameter11:	    0.9939[3.2495]
Parameter12:	    0.1708[1.9696]
Parameter13:	    0.8073[3.2165]
Parameter14:	    0.0099[2.1433]
Parameter15:	    0.5782[2.7264]
Parameter16:	    0.3680[2.5351]
Parameter17:	    0.0964[2.0586]
Parameter18:	    0.0294[1.8358]
Parameter19:	    0.9650[3.2942]
Parameter20:	    0.2917[2.4846]
Parameter21:	    1.1076[3.5637]
Parameter22:	    0.5730[2.9311]
Parameter23:	    0.2592[2.3702]
Parameter24:	    1.2019[3.5746]
Parameter25:	    1.9600[4.6153]
Parameter26:	    2.5236[4.5696]
Parameter27:	    0.8163[3.3669]
Parameter28:	    0.0881[2.1706]
Parameter29:	    4.2793[6.0291]
Parameter30:	    1.7813[4.1828]
Parameter31:	    0.6777[2.8075]
Parameter32:	    1.0304[3.4924]
Parameter33:	    0.2050[2.2660]
Parameter34:	    1.0131[3.1739]
Parameter35:	    0.5038[2.6772]
Parameter36:	    1.2584[3.6925]
Parameter37:	    0.1951[2.2922]
Parameter38:	    0.0369[2.0676]
Parameter39:	   84.0876[26.0050]
Parameter40:	 1364.0447[99.6807]
Parameter41:	    1.6649[3.7545]
Parameter42:	    0.5007[2.9300]
Parameter43:	   81.6667[25.7095]
Parameter44:	    1.4298[3.9892]
Parameter45:	    1.3428[3.8946]
Parameter46:	 3580.4966[178.5999]
Parameter47:	  570.9781[65.9034]
Parameter48:	    0.4291[2.6637]
Parameter49:	    0.5541[2.8272]
Parameter50:	    1.1463[3.6417]
Parameter51:	    1.4879[3.7643]
Parameter52:	    0.4946[2.7813]
Parameter53:	    0.3997[2.6464]
Parameter54:	    0.5878[3.0842]
Parameter55:	    0.0819[2.4332]
Parameter56:	    2.9967[5.2724]
Parameter57:	    4.0145[6.0948]
Parameter58:	    1.8441[4.0211]
Parameter59:	    0.1203[2.0422]
Parameter60:	    0.7017[2.9279]
Parameter61:	    1.0541[3.3916]
Parameter62:	    0.2386[2.5007]
Parameter63:	    0.3530[2.5924]
Parameter64:	    2.6839[4.8302]
Parameter65:	    0.0423[1.9436]
Parameter66:	    0.5309[2.7612]
Parameter67:	    0.0074[1.9250]
Parameter68:	    0.1162[2.2012]
Parameter69:	    0.6344[2.8233]
Parameter70:	    0.8350[3.2403]
Parameter71:	    1.2127[3.3162]
Parameter72:	    3.3500[5.6248]
Parameter73:	    2.7185[5.0080]
Parameter74:	    0.0077[2.0292]
Parameter75:	    0.2914[2.4293]
Parameter76:	    3.6616[6.0553]
Parameter77:	    0.0703[2.1594]
Parameter78:	    2.8680[5.4155]
Parameter79:	    0.0272[2.0560]
Parameter80:	    0.7222[3.3928]
Parameter81:	    2.7127[5.1864]
Parameter82:	    0.1115[2.1472]
Parameter83:	    0.2706[2.5470]
Parameter84:	    0.1454[2.2473]
Parameter85:	    0.4335[2.5469]
Parameter86:	    1.2203[3.4616]
Parameter87:	    0.2739[2.4905]
Parameter88:	    0.5679[2.7321]
Parameter89:	    0.7371[3.0888]
Parameter90:	    6.3381[7.2198]
Parameter91:	    7.3354[7.5424]
Parameter92:	    4.4843[6.1753]
Parameter93:	    0.2099[2.4643]
Parameter94:	    0.1971[2.4617]
Parameter95:	    0.6182[2.7792]
Parameter96:	    5.4356[6.6868]
Parameter97:	    1.3813[3.7623]
Parameter98:	    0.1773[2.2161]
Parameter99:	    0.7002[3.1373]
Parameter100:	   13.9093[10.1099]
Parameter101:	    0.2962[2.6305]
Parameter102:	    3.4036[5.5220]
Parameter103:	   15.6078[11.6734]
Interaction Effects
Parameters0&1:	    2.0074[3.1266]
Parameters0&2:	    0.7468[2.0710]
Parameters0&3:	    0.8397[2.2039]
Parameters0&4:	    0.3065[1.5651]
Parameters0&5:	    1.8028[2.9147]
Parameters0&6:	    0.8595[2.3236]
Parameters0&7:	    2.5615[3.4511]
Parameters0&8:	    0.6978[2.1928]
Parameters0&9:	    0.4334[1.9634]
Parameters0&10:	    2.1375[3.0984]
Parameters0&11:	    0.5369[1.9060]
Parameters0&12:	    0.6800[2.0050]
Parameters0&13:	    0.5991[2.2035]
Parameters0&14:	    0.3300[1.6552]
Parameters0&15:	    1.0548[2.4113]
Parameters0&16:	    2.5094[3.2408]
Parameters0&17:	    1.1090[2.4656]
Parameters0&18:	    0.6275[2.0051]
Parameters0&19:	    0.3086[1.7951]
Parameters0&20:	    1.4479[2.8456]
Parameters0&21:	    0.0824[1.3577]
Parameters0&22:	    1.3188[2.8474]
Parameters0&23:	    0.2923[1.6281]
Parameters0&24:	    0.4680[1.8919]
Parameters0&25:	    0.4168[1.8969]
Parameters0&26:	    0.4356[1.8581]
Parameters0&27:	    0.9630[2.3648]
Parameters0&28:	    0.1458[1.3902]
Parameters0&29:	    0.8371[2.2454]
Parameters0&30:	    0.8645[3.1105]
Parameters0&31:	    1.8470[2.7678]
Parameters0&32:	    0.3981[1.7567]
Parameters0&33:	    2.2800[3.3345]
Parameters0&34:	    1.9388[3.1075]
Parameters0&35:	    0.5589[1.8725]
Parameters0&36:	    0.3571[1.7776]
Parameters0&37:	    0.3622[1.6480]
Parameters0&38:	    0.9465[2.2949]
Parameters0&39:	    1.1008[2.4827]
Parameters0&40:	    0.3228[1.6344]
Parameters0&41:	    0.5860[2.0331]
Parameters0&42:	    1.0821[2.3684]
Parameters0&43:	    0.3889[1.6856]
Parameters0&44:	    0.7295[2.1981]
Parameters0&45:	    0.9045[2.4539]
Parameters0&46:	    1.0728[2.3052]
Parameters0&47:	    1.8505[3.2482]
Parameters0&48:	    0.5931[1.9572]
Parameters0&49:	    2.0332[3.1235]
Parameters0&50:	    1.2538[2.4160]
Parameters0&51:	    0.9610[2.3805]
Parameters0&52:	    1.0588[2.3076]
Parameters0&53:	    0.6149[2.0145]
Parameters0&54:	    0.2145[1.5459]
Parameters0&55:	    0.8707[2.3849]
Parameters0&56:	    0.5882[2.0257]
Parameters0&57:	    1.3775[2.6845]
Parameters0&58:	    0.0386[1.3935]
Parameters0&59:	    1.6646[2.7754]
Parameters0&60:	    0.7934[2.2019]
Parameters0&61:	    0.7101[2.1099]
Parameters0&62:	    1.2157[3.2539]
Parameters0&63:	    0.1680[1.5039]
Parameters0&64:	    0.0497[1.2311]
Parameters0&65:	    1.1487[2.4956]
