Main Effects
Parameters0&58:	    0.3680[1.6179]
Parameters0&59:	    0.6516[2.1080]
Parameters0&60:	    1.0154[2.3391]
Parameters0&61:	    0.4721[1.8796]
Parameters0&62:	    0.7461[2.5613]
Parameters0&63:	    0.9030[2.3084]
Parameters0&64:	    0.2784[1.5742]
Parameters0&65:	    2.6897[3.3644]
Parameters0&66:	    1.9778[2.9697]
Parameters0&67:	    0.5292[2.0182]
Parameters0&68:	    0.2826[1.5184]
Parameters0&69:	    1.7998[3.0581]
Parameters0&70:	    0.8302[2.1444]
Parameters0&71:	    1.4317[2.9117]
Parameters0&72:	    0.2720[1.5525]
Parameters0&73:	    0.4204[1.7973]
Parameters0&74:	    0.3966[1.7368]
Parameters0&75:	    1.1602[2.5381]
Parameters0&76:	    1.2174[2.5799]
Parameters0&77:	    0.2798[1.7973]
Parameters0&78:	    0.3843[1.8274]
Parameters0&79:	    1.3261[2.5846]
Parameters0&80:	    1.9287[2.9894]
Parameters0&81:	    1.2827[2.6148]
Parameters0&82:	    1.2320[2.5448]
Parameters0&83:	    2.9235[3.6754]
Parameters0&84:	    0.4228[1.8067]
Parameters0&85:	    0.8957[2.1787]
Parameters0&86:	    1.2009[2.3012]
Parameters0&87:	    1.5961[2.9039]
Parameters0&88:	    1.9928[3.2444]
Parameters0&89:	    0.4405[1.7184]
Parameters0&90:	    0.1934[1.5311]
Parameters0&91:	    0.7610[2.1360]
Parameters0&92:	    1.6535[2.8696]
Parameters0&93:	    2.7019[3.6089]
Parameters0&94:	    0.1546[1.6376]
Parameters0&95:	    1.3872[2.6396]
Parameters0&96:	    0.9618[2.5091]
Parameters0&97:	    0.2452[1.6798]
Parameters0&98:	    1.9440[3.0142]
Parameters0&99:	    0.7883[2.4304]
Parameters0&100:	    1.3746[2.7101]
Parameters0&101:	    1.3903[2.6069]
Parameters0&102:	    0.1740[1.7400]
Parameters0&103:	    0.4655[1.9572]
Parameters1&2:	    0.5491[2.0082]
Parameters1&3:	    1.2012[2.6073]
Parameters1&4:	    1.2881[2.7630]
Parameters1&5:	    0.8008[2.1506]
Parameters1&6:	    0.2368[1.7641]
Parameters1&7:	    0.8761[2.1319]
Parameters1&8:	    1.0187[2.1978]
Parameters1&9:	    0.1615[1.7014]
Parameters1&10:	    1.1564[2.3742]
Parameters1&11:	    0.1162[1.5252]
Parameters1&12:	    0.2729[1.8823]
Parameters1&13:	    1.9479[3.0804]
Parameters1&14:	    0.2997[1.7164]
Parameters1&15:	    1.6970[2.9986]
Parameters1&16:	    0.2468[1.6687]
Parameters1&17:	    2.0207[2.9361]
Parameters1&18:	    0.2548[1.5116]
Parameters1&19:	    0.3108[1.6691]
Parameters1&20:	    0.9873[2.2444]
Parameters1&21:	    1.1355[2.4211]
Parameters1&22:	    0.9217[2.3895]
Parameters1&23:	    2.2193[3.1308]
Parameters1&24:	    0.6281[2.1027]
Parameters1&25:	    1.5406[2.5665]
Parameters1&26:	    0.5460[2.0325]
Parameters1&27:	    1.1926[2.6443]
Parameters1&28:	    0.3225[1.5599]
Parameters1&29:	    1.8726[3.0795]
Parameters1&30:	    0.6736[1.9230]
Parameters1&31:	    1.4817[2.7243]
Parameters1&32:	    0.7120[2.0261]
Parameters1&33:	    0.5161[1.8766]
Parameters1&34:	    0.9031[2.4134]
Parameters1&35:	    0.3678[1.9352]
Parameters1&36:	    1.4503[2.6996]
Parameters1&37:	    0.4905[1.8539]
Parameters1&38:	    0.8150[2.2168]
Parameters1&39:	    0.3691[1.6848]
Parameters1&40:	    0.8734[2.1134]
Parameters1&41:	    2.1552[3.1629]
Parameters1&42:	    1.8710[3.0259]
Parameters1&43:	    0.4424[1.8295]
Parameters1&44:	    0.0788[1.6196]
Parameters1&45:	    1.1461[2.6130]
Parameters1&46:	    0.5810[1.8976]
Parameters1&47:	    0.9939[2.3844]
Parameters1&48:	    0.2858[1.6828]
Parameters1&49:	    1.9167[3.2070]
Parameters1&50:	    1.3185[2.7796]
Parameters1&51:	    0.1042[1.3880]
Parameters1&52:	    1.7729[2.8759]
Parameters1&53:	    2.2457[3.2503]
Parameters1&54:	    0.7367[2.0274]
Parameters1&55:	    1.4072[2.7108]
Parameters1&56:	    1.1896[2.5111]
Parameters1&57:	    0.5860[1.8852]
Parameters1&58:	    1.4008[2.6888]
Parameters1&59:	    0.8550[2.1543]
Parameters1&60:	    0.3433[1.7466]
Parameters1&61:	    0.9550[2.4291]
Parameters1&62:	    0.6620[2.1930]
Parameters1&63:	    0.9138[2.4179]
Parameters1&64:	    1.7339[3.2037]
Parameters1&65:	    0.4981[2.0949]
Parameters1&66:	    0.8120[2.2855]
Parameters1&67:	    0.9995[2.3412]
Parameters1&68:	    0.3803[1.6204]
Parameters1&69:	    0.6794[2.1255]
Parameters1&70:	    1.2755[2.4842]
Parameters1&71:	    0.4161[1.9810]
Parameters1&72:	    0.3314[1.7943]
Parameters1&73:	    1.2358[2.7008]
Parameters1&74:	    0.6657[2.1536]
Parameters1&75:	    0.4535[1.7823]
Parameters1&76:	    0.0832[1.3780]
Parameters1&77:	    0.7056[2.1913]
Parameters1&78:	    0.8391[2.3922]
Parameters1&79:	    0.9613[2.5061]
Parameters1&80:	    1.0229[2.3776]
Parameters1&81:	    1.1753[2.4810]
Parameters1&82:	    1.2643[2.4811]
Parameters1&83:	    2.2468[3.3382]
Parameters1&84:	    0.5726[2.2382]
Parameters1&85:	    0.3119[1.8778]
Parameters1&86:	    1.0048[2.2660]
Parameters1&87:	    1.0487[2.3234]
Parameters1&88:	    0.5610[1.9121]
Parameters1&89:	    1.3775[2.7666]
Parameters1&90:	    1.5686[2.7751]
Parameters1&91:	    0.7358[2.2200]
Parameters1&92:	    0.7724[2.1367]
Parameters1&93:	    0.6356[2.2306]
Parameters1&94:	    1.4657[2.8108]
Parameters1&95:	    0.5303[2.0340]
Parameters1&96:	    0.8726[2.3047]
Parameters1&97:	    1.4809[3.0108]
Parameters1&98:	    2.3596[3.4506]
Parameters1&99:	    0.6864[2.0713]
Parameters1&100:	    0.5764[2.0140]
Parameters1&101:	    0.9122[2.2471]
Parameters1&102:	    0.4032[1.7974]
Parameters1&103:	    0.8963[2.3772]
Parameters2&3:	    0.4030[1.9475]
Parameters2&4:	    0.3828[1.6575]
Parameters2&5:	    0.6166[2.0006]
Parameters2&6:	    0.1566[1.5397]
Parameters2&7:	    0.4360[1.8995]
Parameters2&8:	    2.3900[3.0377]
Parameters2&9:	    0.1551[1.4564]
Parameters2&10:	    0.4934[1.8152]
Parameters2&11:	    0.0874[1.2324]
Parameters2&12:	    1.3016[2.5466]
Parameters2&13:	    0.0651[1.3229]
Parameters2&14:	    0.6615[2.0324]
Parameters2&15:	    0.3071[1.6454]
Parameters2&16:	    0.4985[1.8631]
Parameters2&17:	    0.3834[1.8641]
Parameters2&18:	    0.6562[2.0084]
Parameters2&19:	    0.5654[1.9288]
Parameters2&20:	    1.7204[2.8450]
Parameters2&21:	    0.4106[1.6529]
Parameters2&22:	    2.2801[3.1119]
Parameters2&23:	    1.6545[2.9037]
Parameters2&24:	    1.1504[2.2430]
Parameters2&25:	    0.3383[1.7003]
Parameters2&26:	    0.7778[2.0501]
Parameters2&27:	    0.5882[2.0254]
Parameters2&28:	    0.2823[1.6292]
Parameters2&29:	    0.4527[1.7863]
Parameters2&30:	    0.2274[1.5081]
Parameters2&31:	    1.4696[2.5934]
Parameters2&32:	    0.3102[1.6608]
Parameters2&33:	    1.7562[2.6783]
Parameters2&34:	    0.3745[1.6281]
Parameters2&35:	    0.6124[1.9674]
Parameters2&36:	    1.1150[2.4548]
Parameters2&37:	    0.2190[1.5745]
Parameters2&38:	    1.6903[2.8633]
Parameters2&39:	    0.6090[1.9084]
Parameters2&40:	    0.7028[1.9680]
Parameters2&41:	    0.5620[1.9127]
Parameters2&42:	    0.1055[1.3627]
Parameters2&43:	    1.3431[2.3410]
Parameters2&44:	    0.5171[1.8647]
Parameters2&45:	    1.2373[2.7182]
Parameters2&46:	    0.1877[1.5748]
Parameters2&47:	    0.4810[2.0047]
Parameters2&48:	    1.3092[2.6842]
Parameters2&49:	    1.2795[2.4239]
Parameters2&50:	    1.7937[2.7424]
Parameters2&51:	    2.0608[3.1585]
Parameters2&52:	    2.9207[3.4036]
Parameters2&53:	    0.4392[1.6972]
Parameters2&54:	    0.3771[1.8349]
Parameters2&55:	    0.7789[1.8877]
Parameters2&56:	    1.4116[2.6736]
Parameters2&57:	    1.4029[2.8229]
Parameters2&58:	    1.3148[2.4406]
Parameters2&59:	    0.3622[1.7342]
Parameters2&60:	    1.0418[2.4838]
Parameters2&61:	    0.4473[1.7521]
Parameters2&62:	    0.7993[2.2969]
Parameters2&63:	    0.4478[1.7092]
Parameters2&64:	    0.6191[1.9771]
Parameters2&65:	    0.3837[1.7216]
Parameters2&66:	    0.4190[1.6945]
Parameters2&67:	    0.8969[2.2426]
Parameters2&68:	    0.2371[1.5321]
Parameters2&69:	    0.9080[2.2880]
Parameters2&70:	    1.1764[2.4245]
Parameters2&71:	    0.4562[1.9145]
Parameters2&72:	    0.0439[1.2127]
Parameters2&73:	    0.7859[2.0192]
Parameters2&74:	    0.3248[1.6061]
Parameters2&75:	    0.8686[2.0533]
Parameters2&76:	    1.9591[2.8178]
Parameters2&77:	    0.2566[1.4604]
Parameters2&78:	    0.2736[1.7061]
Parameters2&79:	    0.7917[2.4000]
Parameters2&80:	    0.6775[2.0524]
Parameters2&81:	    1.2862[2.3542]
Parameters2&82:	    1.2761[2.6805]
Parameters2&83:	    2.1547[3.2959]
Parameters2&84:	    0.3522[1.8174]
Parameters2&85:	    1.3289[2.6754]
Parameters2&86:	    0.1762[1.6382]
Parameters2&87:	    0.7306[2.0614]
Parameters2&88:	    1.1040[2.4421]
Parameters2&89:	    0.3944[1.9525]
Parameters2&90:	    0.6043[1.9333]
Parameters2&91:	    0.4088[1.7545]
Parameters2&92:	    0.1991[1.5270]
Parameters2&93:	    0.9369[2.2476]
Parameters2&94:	    0.5395[1.9091]
Parameters2&95:	    0.9541[2.1749]
Parameters2&96:	    0.9410[2.3101]
Parameters2&97:	    0.2214[1.6766]
Parameters2&98:	    0.7225[2.1015]
Parameters2&99:	    0.4320[1.9873]
Parameters2&100:	    0.2455[1.4775]
Parameters2&101:	    0.1347[1.3354]
Parameters2&102:	    1.7236[2.8928]
Parameters2&103:	    0.5107[1.8078]
Parameters3&4:	    0.3953[1.6666]
Parameters3&5:	    0.6103[2.1072]
Parameters3&6:	    0.3124[1.5927]
Parameters3&7:	    0.1399[1.6868]
Parameters3&8:	    0.3212[1.5139]
Parameters3&9:	    0.1335[1.5535]
Parameters3&10:	    0.5380[1.9104]
Parameters3&11:	    1.0017[2.3133]
Parameters3&12:	    2.2718[3.1681]
Parameters3&13:	    0.3718[1.6493]
Parameters3&14:	    2.2029[3.0650]
Parameters3&15:	    2.2572[3.4688]
Parameters3&16:	    1.4747[2.9908]
Parameters3&17:	    1.2898[2.5579]
Parameters3&18:	    0.5754[1.8619]
Parameters3&19:	    0.2288[1.5025]
Parameters3&20:	    0.5066[1.9592]
Parameters3&21:	    1.5638[2.6687]
Parameters3&22:	    3.8520[4.0660]
Parameters3&23:	    2.2653[3.2861]
Parameters3&24:	    0.3757[1.6165]
Parameters3&25:	    0.4735[1.8509]
Parameters3&26:	    0.6950[2.1901]
Parameters3&27:	    1.8707[3.2106]
Parameters3&28:	    0.6872[2.0194]
Parameters3&29:	    0.8154[2.2622]
Parameters3&30:	    0.4585[1.7202]
Parameters3&31:	    0.8393[2.2591]
Parameters3&32:	    1.0723[2.3510]
Parameters3&33:	    1.2885[2.6415]
Parameters3&34:	    0.1558[1.5208]
Parameters3&35:	    1.1644[2.6662]
Parameters3&36:	    0.3499[1.6206]
Parameters3&37:	    0.3887[1.7379]
Parameters3&38:	    2.0342[3.1409]
Parameters3&39:	    0.6457[1.9734]
Parameters3&40:	    0.8580[2.2993]
Parameters3&41:	    0.2160[1.5378]
Parameters3&42:	    0.2569[1.5957]
Parameters3&43:	    0.1484[1.3563]
Parameters3&44:	    1.6202[2.6978]
Parameters3&45:	    0.4384[1.8523]
Parameters3&46:	    0.9264[2.4015]
Parameters3&47:	    0.6095[2.3073]
Parameters3&48:	    0.7369[2.0759]
Parameters3&49:	    2.9165[3.6614]
Parameters3&50:	    0.8991[2.2155]
Parameters3&51:	    0.0321[1.2431]
Parameters3&52:	    0.0818[1.4955]
Parameters3&53:	    1.8551[3.0529]
Parameters3&54:	    1.0014[2.3267]
Parameters3&55:	    0.2624[1.7696]
Parameters3&56:	    0.2289[1.4056]
Parameters3&57:	    3.8747[3.8462]
Parameters3&58:	    1.4819[3.0328]
Parameters3&59:	    0.4108[1.6635]
Parameters3&60:	    1.2397[2.5945]
Parameters3&61:	    0.7387[2.2702]
Parameters3&62:	    0.4465[1.9524]
Parameters3&63:	    1.4225[2.7254]
Parameters3&64:	    0.7120[2.3185]
Parameters3&65:	    0.4364[1.9068]
Parameters3&66:	    2.7490[3.4646]
Parameters3&67:	    0.4095[1.7058]
Parameters3&68:	    0.3438[1.9115]
Parameters3&69:	    2.6378[3.6164]
Parameters3&70:	    0.2530[1.5271]
Parameters3&71:	    0.6863[2.1448]
Parameters3&72:	    0.5441[1.9720]
Parameters3&73:	    0.2309[1.5185]
Parameters3&74:	    2.8245[3.7623]
Parameters3&75:	    1.0838[2.5272]
Parameters3&76:	    0.7577[2.1565]
Parameters3&77:	    0.6321[2.2023]
Parameters3&78:	    0.8071[2.3323]
Parameters3&79:	    1.9262[3.0840]
Parameters3&80:	    0.3829[1.9139]
Parameters3&81:	    0.4145[1.8846]
Parameters3&82:	    0.5220[1.7203]
Parameters3&83:	    0.7254[2.2766]
Parameters3&84:	    1.6169[2.6771]
Parameters3&85:	    0.9826[2.2806]
Parameters3&86:	    0.3117[1.6883]
Parameters3&87:	    2.8347[3.9167]
Parameters3&88:	    0.3773[1.8333]
Parameters3&89:	    0.8240[2.1209]
Parameters3&90:	    0.0686[1.3639]
Parameters3&91:	    1.5912[2.9318]
Parameters3&92:	    0.5372[1.8237]
Parameters3&93:	    1.2901[2.6325]
Parameters3&94:	    0.7840[2.2999]
Parameters3&95:	    2.0216[2.9246]
Parameters3&96:	    1.2257[2.3489]
Parameters3&97:	    1.4880[2.6383]
Parameters3&98:	    2.2862[3.6198]
Parameters3&99:	    0.4330[1.6775]
Parameters3&100:	    3.1790[3.6277]
Parameters3&101:	    0.3487[1.6940]
Parameters3&102:	    0.0946[1.3614]
Parameters3&103:	    0.9017[2.3701]
Parameters4&5:	    0.3388[1.5320]
Parameters4&6:	    0.9342[2.3471]
Parameters4&7:	    1.8510[2.9685]
Parameters4&8:	    1.1536[2.3177]
Parameters4&9:	    2.3177[3.2590]
Parameters4&10:	    2.3015[3.0864]
Parameters4&11:	    1.0386[2.4133]
Parameters4&12:	    0.2916[1.6165]
Parameters4&13:	    1.1604[2.3521]
Parameters4&14:	    1.9855[3.0649]
Parameters4&15:	    0.8612[2.2104]
Parameters4&16:	    0.7437[2.0143]
Parameters4&17:	    0.2838[1.6833]
Parameters4&18:	    0.4913[1.7732]
Parameters4&19:	    0.3733[1.6492]
Parameters4&20:	    1.4674[2.6984]
Parameters4&21:	    3.8940[3.7586]
Parameters4&22:	    1.1071[2.4965]
Parameters4&23:	    1.2023[2.5180]
Parameters4&24:	    0.3863[1.9483]
Parameters4&25:	    1.6796[2.9305]
Parameters4&26:	    0.1527[1.5935]
Parameters4&27:	    1.0902[2.4647]
Parameters4&28:	    0.7873[2.1460]
Parameters4&29:	    0.9931[2.2160]
Parameters4&30:	    0.5335[1.9914]
Parameters4&31:	    0.6751[2.0299]
Parameters4&32:	    0.0312[1.2000]
Parameters4&33:	    0.2434[1.6147]
Parameters4&34:	    0.3462[1.7854]
Parameters4&35:	    1.3853[2.6966]
Parameters4&36:	    3.9573[3.7702]
Parameters4&37:	    0.1521[1.5172]
Parameters4&38:	    0.5022[1.9221]
Parameters4&39:	    0.5388[1.7164]
Parameters4&40:	    0.9530[2.2517]
Parameters4&41:	    0.9365[2.2142]
Parameters4&42:	    0.5510[2.0605]
Parameters4&43:	    0.9900[2.1721]
Parameters4&44:	    0.6654[2.0982]
Parameters4&45:	    0.1491[1.4318]
Parameters4&46:	    0.1781[1.4927]
Parameters4&47:	    1.6290[2.8141]
Parameters4&48:	    1.2537[2.6357]
Parameters4&49:	    3.0985[3.6805]
Parameters4&50:	    1.5412[2.7031]
Parameters4&51:	    1.2981[2.6297]
Parameters4&52:	    0.0393[1.2515]
Parameters4&53:	    0.4272[1.8893]
Parameters4&54:	    1.6388[2.7581]
Parameters4&55:	    1.0081[2.4890]
Parameters4&56:	    0.7001[2.2419]
Parameters4&57:	    0.0685[1.3097]
Parameters4&58:	    0.7410[2.0142]
Parameters4&59:	    1.5124[2.9698]
Parameters4&60:	    1.4485[2.6595]
Parameters4&61:	    1.2628[2.5051]
Parameters4&62:	    0.3378[1.6264]
Parameters4&63:	    2.5047[3.2449]
Parameters4&64:	    0.1674[1.6403]
Parameters4&65:	    1.4932[2.7552]
Parameters4&66:	    2.6729[3.5932]
Parameters4&67:	    0.1857[1.6789]
Parameters4&68:	    0.2544[1.4348]
Parameters4&69:	    0.3511[1.9264]
Parameters4&70:	    0.0984[1.3477]
Parameters4&71:	    0.2372[1.7197]
Parameters4&72:	    0.8943[2.1455]
Parameters4&73:	    0.6209[1.9936]
Parameters4&74:	    1.2497[2.4378]
Parameters4&75:	    0.7396[2.0846]
Parameters4&76:	    0.1997[1.4672]
Parameters4&77:	    3.1309[3.4038]
Parameters4&78:	    0.4627[2.1415]
Parameters4&79:	    0.0466[1.2723]
Parameters4&80:	    0.6961[2.0842]
Parameters4&81:	    2.2818[3.1695]
Parameters4&82:	    1.5116[2.7249]
Parameters4&83:	    1.0798[2.3882]
Parameters4&84:	    1.1261[2.4608]
Parameters4&85:	    0.5263[1.9446]
Parameters4&86:	    0.4016[1.8105]
Parameters4&87:	    0.3224[1.6818]
Parameters4&88:	    1.1957[2.4324]
Parameters4&89:	    0.8196[2.1999]
Parameters4&90:	    1.5347[2.6793]
Parameters4&91:	    1.7756[2.8217]
Parameters4&92:	    0.1016[1.3471]
Parameters4&93:	    0.2657[1.7105]
Parameters4&94:	    1.2297[2.4390]
Parameters4&95:	    0.5125[2.0475]
Parameters4&96:	    2.4224[3.3118]
Parameters4&97:	    0.1968[1.4751]
Parameters4&98:	    0.9896[2.5787]
Parameters4&99:	    0.6328[1.9315]
Parameters4&100:	    0.4520[1.8277]
Parameters4&101:	    0.3604[1.7512]
Parameters4&102:	    0.8575[2.1955]
Parameters4&103:	    0.7965[2.2508]
Parameters5&6:	    1.1620[2.3781]
Parameters5&7:	    0.7491[2.2383]
Parameters5&8:	    0.4332[1.6487]
Parameters5&9:	    0.4715[1.7293]
Parameters5&10:	    0.1781[1.5333]
Parameters5&11:	    3.7775[4.2107]
Parameters5&12:	    2.8878[3.5280]
Parameters5&13:	    0.5895[2.0140]
Parameters5&14:	    0.4276[1.8265]
Parameters5&15:	    0.6247[2.1625]
Parameters5&16:	    0.0478[1.5534]
Parameters5&17:	    1.1545[2.4551]
Parameters5&18:	    2.2753[3.1636]
Parameters5&19:	    0.9021[2.2953]
Parameters5&20:	    0.4141[1.9694]
Parameters5&21:	    0.2028[1.5967]
Parameters5&22:	    2.7329[3.6272]
Parameters5&23:	    3.5486[3.9767]
Parameters5&24:	    1.9710[2.9295]
Parameters5&25:	    2.0393[3.0001]
Parameters5&26:	    0.9363[2.3670]
Parameters5&27:	    1.6788[2.9171]
Parameters5&28:	    0.2428[1.5612]
Parameters5&29:	    0.4432[1.7563]
Parameters5&30:	    0.4265[1.6992]
Parameters5&31:	    0.5623[2.1702]
Parameters5&32:	    0.8979[2.2222]
Parameters5&33:	    0.6560[2.1624]
Parameters5&34:	    1.4763[2.8022]
Parameters5&35:	    1.3513[2.7086]
Parameters5&36:	    0.3656[1.8839]
Parameters5&37:	    0.5590[1.8063]
Parameters5&38:	    3.1364[3.7545]
Parameters5&39:	    1.5639[2.7290]
Parameters5&40:	    0.6437[1.9867]
Parameters5&41:	    0.5215[2.0347]
Parameters5&42:	    0.2226[1.7293]
Parameters5&43:	    0.9461[2.2224]
Parameters5&44:	    3.5107[3.8869]
Parameters5&45:	    0.3412[1.8952]
Parameters5&46:	    0.2819[1.8229]
Parameters5&47:	    0.6452[1.8229]
Parameters5&48:	    0.5142[1.9995]
Parameters5&49:	    0.1877[1.6731]
Parameters5&50:	    1.4462[2.8507]
Parameters5&51:	    1.4041[2.8571]
Parameters5&52:	    0.2929[1.5489]
Parameters5&53:	    1.3950[2.6149]
Parameters5&54:	    0.6596[2.1435]
Parameters5&55:	    0.5184[2.0733]
Parameters5&56:	    2.8353[3.4811]
Parameters5&57:	    1.3048[2.5653]
Parameters5&58:	    0.5440[1.8340]
Parameters5&59:	    0.7181[2.1085]
Parameters5&60:	    0.1512[1.7052]
Parameters5&61:	    0.9624[2.3902]
Parameters5&62:	    2.3962[3.4837]
Parameters5&63:	    0.9584[2.3876]
Parameters5&64:	    0.9037[2.2614]
Parameters5&65:	    0.0338[1.1929]
Parameters5&66:	    1.1085[2.1526]
Parameters5&67:	    0.9023[2.5582]
Parameters5&68:	    0.1361[1.2344]
Parameters5&69:	    0.4246[1.7875]
Parameters5&70:	    0.8187[2.3490]
Parameters5&71:	    1.1646[2.6097]
